ID,NAME,DESCRIPTION,LEVEL,CATEGORY,CATEGORY_NAME,VERSION,LATEST_VERSION
186,Education Administration,"The Education Administration subcategory includes skills related to facilitate the operation of educational institutions, such as maintaining student records, developing academic policies, and student recruitment.",1,9,Education and Training,9.31,true
188,Higher Education,The Higher Education subcategory includes skills related to post-secondary education.,1,9,Education and Training,9.31,true
189,Instructional and Curriculum Design,"The Instructional and Curriculum Design subcategory includes skills related to creating and improving curriculum, courses, and educational materials.",1,9,Education and Training,9.31,true
190,Education Software and Technology,"The Education Software and Technology includes skills and software tools used to create, document, track, report, and deliver educational courses and training programs.",1,9,Education and Training,9.31,true
191,Library and Archiving,"The Library and Archiving subcategory includes skills and software tools related to library sciences and services, as well as the processing, preservation, and management of collections and archives in a variety of media.",1,9,Education and Training,9.31,true
192,Program Management,"The Program Management subcategory includes skills related to the development, evaluation, and improvement of educational programs.",1,9,Education and Training,9.31,true
193,Teaching,"The Teaching subcategory includes skills related to teaching and tutoring students, including various educational methodologies and techniques as well as the instruction of specific academic disciplines.",1,9,Education and Training,9.31,true
194,Training Programs,"The Training Programs subcategory includes skills related to a variety of training activities, materials, and programs that are outside the scope of the traditional elementary, secondary, and post-secondary classrooms.",1,9,Education and Training,9.31,true
647,Special Education,The Special Education subcategory includes skills related to identifying and accommodating the educational needs of individuals with disabilities or other learning challenges.,1,9,Education and Training,9.31,true
648,Student Support and Services,The Student Support and Services subcategory includes skills related to assisting students in order to improve their academic experience and performance.,1,9,Education and Training,9.31,true
195,Clean Energy,"The Clean Energy subcategory includes skills related to discovering, producing, and using alternate fuels and renewable energy.",1,10,Energy and Utilities,9.31,true
196,Electrical Power,The Electrical Power subcategory includes skills related to understanding and using systems that provide and alter electrical power.,1,10,Energy and Utilities,9.31,true
197,Energy Efficiency,"The Energy Efficiency subcategory includes skills related to developing energy-efficient technologies and increasing the energy efficiency of equipment, residences, facilities, and vehicles.",1,10,Energy and Utilities,9.31,true
198,Energy Management,The Energy Management subcategory includes skills related to the planning and operation of energy production and energy consumption while aiming to conserve resources and reduce costs.,1,10,Energy and Utilities,9.31,true
199,Natural Gas,"The Natural Gas subcategory includes skills related to extracting, transporting, and storing natural gas.",1,10,Energy and Utilities,9.31,true
200,Nuclear Energy,The Nuclear Energy subcategory includes skills related to the use of nuclear reactions to generate electrical power.,1,10,Energy and Utilities,9.31,true
201,Oil and Gas,"The Oil and Gas subcategory includes skills related to the petroleum industry, including drilling for oil and gas reserves, refining and transporting petroleum products, simulating oil reservoirs, and the management and testing of oil wells.",1,10,Energy and Utilities,9.31,true
206,Power Generation,"The Power Generation subcategory includes skills related to generating power, including using power generation equipment and operating power plants.",1,10,Energy and Utilities,9.31,true
207,Solar Energy,"The Solar Energy subcategory includes skills relating to the research, development, installation, and operation of solar energy products.",1,10,Energy and Utilities,9.31,true
208,Water Energy,The Water Energy subcategory includes skills related to generating energy from water sources.,1,10,Energy and Utilities,9.31,true
209,"Water Supply, Testing, and Treatment","The Water Supply, Testing, and Treatment subcategory includes skills related to operating water distribution systems, measuring water flow, and collecting wastewater.",1,10,Energy and Utilities,9.31,true
210,Wind Energy,The Wind Energy subcategory includes skills related to the design and construction of wind turbines and wind farms.,1,10,Energy and Utilities,9.31,true
211,Aerospace Engineering,"The Aerospace Engineering subcategory includes skills related to designing and testing airborne vehicles, such as aircraft, spacecraft, and satellites.",1,11,Engineering,9.31,true
213,Automation Engineering,"The Automation Engineering subcategory includes skills related to automation technologies, tools, systems, and software.",1,11,Engineering,9.31,true
214,Automotive Technologies,The Automotive Technologies subcategory includes skills related to the design and construction of automotive systems.,1,11,Engineering,9.31,true
216,Chemical and Biomedical Engineering,The Chemical and Biomedical Engineering subcategory includes skills related to using chemical processes to transform raw materials into products.,1,11,Engineering,9.31,true
217,Circuitry,"The Circuitry subcategory includes skills related to design, analysis, and testing processes used in circuitry.",1,11,Engineering,9.31,true
218,Civil and Architectural Engineering,"The Civil and Architectural Engineering subcategory includes skills related to the planning, design, and structural assessment of buildings and infrastructure, such as roads, railways, bridges, power plants, and water and sewer systems.",1,11,Engineering,9.31,true
219,Drafting and Engineering Design,"The Drafting and Engineering Design subcategory includes skills and software tools related to the preparation of mechanical or digital drawings, diagrams, blueprints, and models of various products or structures.",1,11,Engineering,9.31,true
220,Electrical and Computer Engineering,"The Electrical and Computer Engineering subcategory includes skills related to the technology of electricity, electronic systems, and computers.",1,11,Engineering,9.31,true
221,Electromechanical Engineering,The Electromechanical Engineering subcategory includes skills relating to the combination of electrical and mechanical systems.,1,11,Engineering,9.31,true
222,Electronic Hardware,"The Electronic Hardware subcategory includes skills related to hardware used in electronic equipment, such as components, controllers, and systems.",1,11,Engineering,9.31,true
223,Electronics Engineering,The Electronics Engineering subcategory includes skills related to the design and development of electronic devices and systems.,1,11,Engineering,9.31,true
225,Engineering Practices,"The Engineering Practices subcategory includes skills related to practices that are common across a variety of engineering fields, such as engineering design, analysis, testing, and support.",1,11,Engineering,9.31,true
226,Engineering Software,"The Engineering Software subcategory includes software tools used for various engineering activities including design, analysis, and simulation.",1,11,Engineering,9.31,true
227,"Engineering, Scientific, and Technical Instruments","The Engineering, Scientific, and Technical Instruments subcategory includes devices and tools used in the fields of engineering and scientific research.",1,11,Engineering,9.31,true
228,Geological Engineering,"The Geological Engineering subcategory includes skills related to the application of geological science and engineering principles to fields like mining, drilling, forestry, and civil engineering.",1,11,Engineering,9.31,true
229,Hardware Description Languages (HDL),The Hardware Description Languages (HDL) subcategory includes skills related to hardware description languages such as Verilog.,1,11,Engineering,9.31,true
231,Industrial Engineering,"The Industrial Engineering subcategory includes skills related to planning, designing, and optimizing industrial manufacturing processes.",1,11,Engineering,9.31,true
232,Marine and Naval Engineering,"The Marine and Naval Engineering subcategory includes skills related to designing ships, submarines, and other watercraft.",1,11,Engineering,9.31,true
233,Materials Science and Engineering,"The Materials Science and Engineering subcategory includes skills related to the study, analysis, testing, and manufacture of materials such as metals, ceramics, and plastics.",1,11,Engineering,9.31,true
234,Mechanical Engineering,"The Mechanical Engineering subcategory includes skills related to the design, analysis, and manufacture of mechanical systems.",1,11,Engineering,9.31,true
235,Mining Engineering,The Mining Engineering subcategory includes skills relating to the extraction of minerals from the earth.,1,11,Engineering,9.31,true
237,Optical Engineering,"The Optical Engineering subcategory includes skills related to researching, designing, and developing applications, systems, and devices using optics technology.",1,11,Engineering,9.31,true
238,Process Engineering,"The Process Engineering subcategory includes skills related to engineering industrial processes including process development, control, and validation.",1,11,Engineering,9.31,true
239,Radio Frequency (RF),"The Radio Frequency (RF) subcategory includes skills related to engineering processes, components, equipment, and systems using radio frequency.",1,11,Engineering,9.31,true
240,Roads and Drainage,The Roads and Drainage subcategory includes skills related to design and maintenance of roads and drainage systems.,1,11,Engineering,9.31,true
241,Robotics,"The Robotics subcategory includes skills related to the design, construction, programming, and operation of robots.",1,11,Engineering,9.31,true
242,Signal Processing,"The Signal Processing subcategory includes skills related to the analysis, modification, and synthesis of signals.",1,11,Engineering,9.31,true
243,Simulation and Simulation Software,"The Simulation and Simulation Software subcategory includes skills and software tools related to the design, creation, and implementation of simulations.",1,11,Engineering,9.31,true
244,Surveying and Cartography,"The Surveying and Cartography subcategory includes skills related to accurately determining the position of objects or points, measuring the distances between them, and recording this data by creating maps.",1,11,Engineering,9.31,true
654,"Engineering, Other","The Engineering, Other subcategory includes skills, knowledge, and tools related to engineering fields not represented by another subcategory.",1,11,Engineering,9.31,true
245,Air Quality and Emissions,"The Air Quality and Emissions subcategory includes skills related to testing, managing, and improving air quality by controlling emissions and air pollution.",1,12,Environment,9.31,true
246,Climate Change,The Climate Change subcategory includes skills related to the study of long-term shifts in temperature and weather patterns.,1,12,Environment,9.31,true
247,Conservation,"The Conservation subcategory includes skills related to conserving resources and wildlife through planning, analysis, and management.",1,12,Environment,9.31,true
248,Ecology,The Ecology subcategory includes skills related to the study of the relationships that organisms have with each other and with their natural environment.,1,12,Environment,9.31,true
249,Environment and Resource Management,The Environment and Resource Management subcategory includes skills related to managing natural resources and minimizing the impact of human activities on the environment.,1,12,Environment,9.31,true
250,Environmental Engineering and Restoration,The Environmental Engineering and Restoration subcategory includes skills related to restoring or improving the quality of the environment.,1,12,Environment,9.31,true
251,Environmental Geology,"The Environmental Geology subcategory includes skills related to the analysis, testing, and management of geological resources such as soil and groundwater.",1,12,Environment,9.31,true
252,Environmental Regulations,"The Environmental Regulations subcategory includes skills related to governmental standards, regulations, and laws put in place to protect the environment.",1,12,Environment,9.31,true
253,Forestry,"The Forestry subcategory includes skills related to the science and craft of creating, managing, using, conserving, and repairing forests, woodlands, and associated resources for human and environmental benefits.",1,12,Environment,9.31,true
254,Hazardous Materials Management,"The Hazardous Materials Management subcategory includes skills related to the safe handling, storage, and disposal of hazardous materials.",1,12,Environment,9.31,true
255,Waste Management,"The Waste Management subcategory includes skills related to collecting, transporting, and disposing of garbage and other waste products.",1,12,Environment,9.31,true
256,Accounting and Finance Software,The Accounting and Finance Software subcategory includes software tools used to streamline and automate the process of recording and reporting financial transactions.,1,13,Finance,9.31,true
257,Accounts Payable and Receivable,The Accounts Payable and Receivable subcategory includes skills related to managing and processing accounts payable and receivable.,1,13,Finance,9.31,true
259,Banking Services,The Banking Services subcategory includes skills related to performing services offered by a bank.,1,13,Finance,9.31,true
260,Billing and Invoicing,The Billing and Invoicing subcategory includes skills related to preparing and sending invoices.,1,13,Finance,9.31,true
261,Budget Management,The Budget Management subcategory includes skills related to managing budgets for a client or managing a budget within an organization or department.,1,13,Finance,9.31,true
262,Cash Management,The Cash Management subcategory includes skills related to collecting and managing cash flows and cash transactions.,1,13,Finance,9.31,true
263,Commercial Lending,The Commercial Lending subcategory includes skills related to loans extended to a business from a financial institution.,1,13,Finance,9.31,true
264,Cost Accounting,"The Cost Accounting subcategory includes skills related to recording, reporting, and managing the costs associated with operating a business or manufacturing a product.",1,13,Finance,9.31,true
266,Cryptocurrency,The Cryptocurrency subcategory includes skills related to digital or virtual currencies that are secured by cryptology.,1,13,Finance,9.31,true
267,Electronic Trading,The Electronic Trading subcategory includes skills related to buying and selling stocks and other financial products using an electronic platform.,1,13,Finance,9.31,true
269,Financial Accounting,"The Financial Accounting subcategory includes skills related to keeping track of a company’s financial transactions, including recording, summarizing, and presenting the transactions in a financial report.",1,13,Finance,9.31,true
270,Financial Advisement,The Financial Advisement subcategory includes skills related to providing financial advice to individuals and businesses to help them meet long-term financial goals.,1,13,Finance,9.31,true
271,Financial Analysis,"The Financial Analysis subcategory includes skills related to evaluating businesses, projects, and other entities to assess their financial performance, stability, and profitability.",1,13,Finance,9.31,true
272,Financial Management,"The Financial Management subcategory includes skills related to the strategic planning, direction, and management of an organization's finances in order to maximize profitability and ensure financial stability.",1,13,Finance,9.31,true
273,Financial Modeling,The Financial Modeling subcategory includes skills related to creating and analyzing models in order to interpret financial data.,1,13,Finance,9.31,true
274,Financial Regulation,The Financial Regulation subcategory includes skills related to understanding and adhering to regulations surrounding financial institutions and markets.,1,13,Finance,9.31,true
275,Financial Reporting,The Financial Reporting subcategory includes skills related to creating reports in order to track and communicate the financial activities of a business.,1,13,Finance,9.31,true
277,Financial Trading,The Financial Trading subcategory includes skills related to buying and selling financial instruments.,1,13,Finance,9.31,true
278,General Accounting,"The General Accounting subcategory includes skills related to common accounting practices such as bookkeeping, financial calculations, and month-end closing.",1,13,Finance,9.31,true
279,General Lending,The General Lending subcategory includes skills related to the extension of loans and credit to consumers.,1,13,Finance,9.31,true
280,Insurance,"The Insurance subcategory includes skills related to selling insurance, including home, auto, and life insurance.",1,13,Finance,9.31,true
281,Investment Management,The Investment Management subcategory includes skills related to the management of investments for a client.,1,13,Finance,9.31,true
283,Mergers and Acquisitions,The Mergers and Acquisitions subcategory includes skills related to performing mergers and acquisitions of businesses.,1,13,Finance,9.31,true
284,Mortgage Lending,"The Mortgage Lending subcategory includes skills related to extending a loan in order to purchase a house, land, or commercial property.",1,13,Finance,9.31,true
285,Specialized Accounting,"The Specialized Accounting subcategory includes skills related to accounting for specific industries or niches, such as construction accounting and small business accounting.",1,13,Finance,9.31,true
286,Structured Finance,The Structured Finance subcategory includes skills related to buying and selling structured financial instruments.,1,13,Finance,9.31,true
287,Tax,"The Tax subcategory includes skills and software tools related to preparing tax documents, paying taxes, and complying with tax laws.",1,13,Finance,9.31,true
288,Underwriting,The Underwriting subcategory includes skills related to accepting liability by issuing an insurance policy and guaranteeing payment if loss or damage occurs.,1,13,Finance,9.31,true
655,General Finance,"The General Finance subcategory includes a range of widely applicable skills related to the study and management of money, currency, assets, and investments.",1,13,Finance,9.31,true
289,Nursing and Patient Care,"The Nursing and Patient Care subcategory includes skills related to providing medical care to the injured, sick, and dying. This group encompasses a variety of skills such as care planning, pain management, medication administration, symptom monitoring, and end-of-life care.",1,14,Health Care,9.31,true
290,Alternative Therapy,"The Alternative Therapy subcategory includes skills related to various systems of healing or treating disease not included in traditional medical practice, such as Homeopathy.",1,14,Health Care,9.31,true
292,Anesthesiology,The Anesthesiology subcategory includes skills related to administering anesthetics to patients during medical procedures.,1,14,Health Care,9.31,true
293,Animal Health and Veterinary Medicine,The Animal Health and Veterinary Medicine subcategory includes skills related to diagnosis and treatment of disorders and diseases in animals.,1,14,Health Care,9.31,true
294,Home Health Care and Assisted Living,The Home Health Care and Assisted Living subcategory includes skills related to providing health care services in the patient's home or in a long-term care facility. This group also encompasses skills related to giving patients assistance with basic daily activities such as feeding and bathing.,1,14,Health Care,9.31,true
296,Blood Collection,The Blood Collection subcategory includes skills related to obtaining blood specimens from patients for laboratory testing.,1,14,Health Care,9.31,true
297,Cardiology,The Cardiology subcategory includes skills related to the diagnosis and treatment of diseases and abnormalities of the heart.,1,14,Health Care,9.31,true
299,Clinical Informatics,The Clinical Informatics subcategory includes skills related to applying information technology to the health care field with an aim to improve treatments for patients.,1,14,Health Care,9.31,true
301,Oral and Dental Care,"The Oral and Dental Care subcategory includes skills related to dental hygiene and the diagnosis and treatment of diseases of the mouth, jaw, teeth, and gums.",1,14,Health Care,9.31,true
302,Dermatology,"The Dermatology subcategory includes skills related to treating diseases and disorders of the skin, hair, and nails.",1,14,Health Care,9.31,true
303,"Ear, Nose, and Throat","The Ear, Nose, and Throat subcategory includes skills related to care and treatment of disorders of the ears, nose, and throat.",1,14,Health Care,9.31,true
304,Emergency and Intensive Care,The Emergency and Intensive Care subcategory includes skills related to providing treatment and care to dangerously ill or injured patients.,1,14,Health Care,9.31,true
305,Endocrinology,The Endocrinology subcategory includes skills related to diagnosis and treatment of disorders and diseases of the endocrine system and hormones.,1,14,Health Care,9.31,true
306,Eye Care,The Eye Care subcategory includes skills related to the care and treatment of eyes.,1,14,Health Care,9.31,true
307,First Aid,The First Aid subcategory includes skills related to giving help to a sick or injured person until full medical treatment is available.,1,14,Health Care,9.31,true
308,Gastroenterology,The Gastroenterology subcategory includes skills related to treating diseases of the digestive system.,1,14,Health Care,9.31,true
309,General Medical Tests and Procedures,"The General Medical Tests and Procedures subcategory includes skills related to performing medical tests and procedures used in all areas of medicine, such as checking vital signs and administering intravenous therapy.",1,14,Health Care,9.31,true
310,General Medicine,"The General Medicine subcategory includes skills related to providing medical care that are used in all areas of medicine, such as clinical assessments and medical terminology.",1,14,Health Care,9.31,true
311,Genetic Disorders,"The Genetic Disorders skills subcategory includes skills related to diagnosing, treating, and counseling patients with genetic disorders.",1,14,Health Care,9.31,true
312,Geriatrics,The Geriatrics subcategory includes skills related to caring for the elderly.,1,14,Health Care,9.31,true
313,Health Care Procedure and Regulation,"The Health Care Procedure and Regulation subcategory includes skills related to understanding, applying, and adhering to healthcare procedures and regulations.",1,14,Health Care,9.31,true
314,Health Information Management and Medical Records,"The Health Information Management and Medical Records subcategory includes skills related to acquiring, analyzing, and protecting digital and traditional medical information vital to providing quality patient care.",1,14,Health Care,9.31,true
315,Hematology,The Hematology subcategory includes skills related to the study and treatment of disorders and diseases of the blood and blood vessels.,1,14,Health Care,9.31,true
316,Hepatology,"The Hepatology subcategory includes skills relating to diagnosing and treating disorders of the liver, gallbladder, biliary tree, and pancreas.",1,14,Health Care,9.31,true
317,Immunology,"The Immunology subcategory includes skills related to the diagnosis and treatment of disorders of the immune system, including allergies and hypersensitivities.",1,14,Health Care,9.31,true
318,Infectious Diseases,"The Infectious Diseases subcategory includes skills related to the diagnosis, prevention, and treatment of disorders caused by organisms such as viruses and bacteria, including communicable diseases such as influenza and noncommunicable infections such as Lyme disease.",1,14,Health Care,9.31,true
319,Injury Treatment,The Injury Treatment subcategory includes skills related to treating injuries.,1,14,Health Care,9.31,true
320,Medical Billing and Coding,"The Medical Billing and Coding subcategory includes skills related to submitting health insurance claims and transcribing medical procedures, services, and equipment into standardized alphanumeric codes.",1,14,Health Care,9.31,true
